uti_group,age_group,sex_group,abx_scenario,parameter,value,distribution,shape,scale,description,reference,abx_guidelines,updated - deterministic,updated - psa,note for psa,,,,,,,,,,,
complicated_oral,1664,m,base,cost.empiricuti.U,2.41,uniform,1.49,3.19,cost of empiric therapy (one off),British National Formulary ,cefalexin,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,1664,m,base,cost.empiricuti.current,0.57,uniform,0.35,0.75,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,1664,m,base,cost.empiricuti.ifast,0.11,uniform,0.07,0.15,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,1664,m,base,cost.2ndline.U,9.59,uniform,2,14.57,cost of second line (one off),British National Formulary ,co-amoxiclav,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,65100,m,base,r.prev,0.13,uniform,0.08,0.18,prevalence of that resistance profile,r.prev,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,base,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,base,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,base,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,base,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,base,cost.empiricuti.U,2.41,uniform,1.49,3.19,cost of empiric therapy (one off),British National Formulary ,cefalexin,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,65100,m,base,cost.empiricuti.current,0.57,uniform,0.35,0.75,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,65100,m,base,cost.empiricuti.ifast,0.11,uniform,0.07,0.15,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
complicated_oral,65100,m,base,cost.2ndline.U,9.59,uniform,2,14.57,cost of second line (one off),British National Formulary ,co-amoxiclav,y,y,complicated,men,oral,base,cefalexin,500,2.5,8.5,co-amoxiclav,500/125 ,3,8.5
uncomplicated,1664,f,low_trim,r.prev,0.05,uniform,0.02,0.25,prevalence of that resistance profile,r.prev,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,f,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,f,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,f,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,f,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,f,low_trim,cost.empiricuti.U,0.87,uniform,0.71,2.9,cost of empiric therapy (one off),British National Formulary ,trimethoprim,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
uncomplicated,1664,f,low_trim,cost.empiricuti.current,0.58,uniform,0.47,1.93,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
uncomplicated,1664,f,low_trim,cost.empiricuti.ifast,0.15,uniform,0.12,0.48,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
uncomplicated,1664,f,low_trim,cost.2ndline.U,2.15,uniform,0.77,5.79,cost of second line (one off),British National Formulary ,nitrofurantoin,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
complicated_IV,1664,f,low_trim,r.prev,0.09,uniform,0.069,0.11,prevalence of that resistance profile,r.prev,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,f,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,f,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,f,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,f,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,f,low_trim,cost.empiricuti.U,51.89,uniform,45.26,51.89,cost of empiric therapy (one off),British National Formulary ,gentamicin,c,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
complicated_IV,1664,f,low_trim,cost.empiricuti.current,14.83,uniform,12.93,14.83,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
complicated_IV,1664,f,low_trim,cost.empiricuti.ifast,5.58,uniform,2.67,5.58,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
complicated_IV,1664,f,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
uncomplicated,65100,f,low_trim,r.prev,0.05,uniform,0.02,0.25,prevalence of that resistance profile,r.prev,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,f,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,f,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,f,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,f,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,f,low_trim,cost.empiricuti.U,0.87,uniform,0.71,2.9,cost of empiric therapy (one off),British National Formulary ,trimethoprim,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
uncomplicated,65100,f,low_trim,cost.empiricuti.current,0.58,uniform,0.47,1.93,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
uncomplicated,65100,f,low_trim,cost.empiricuti.ifast,0.15,uniform,0.12,0.48,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
uncomplicated,65100,f,low_trim,cost.2ndline.U,2.15,uniform,0.77,5.79,cost of second line (one off),British National Formulary ,nitrofurantoin,y,y,uncomplicated,women,oral,low_trim_res,trimethoprim,200,2,3,nitrofurantion,100,2,3
complicated_IV,65100,f,low_trim,r.prev,0.09,uniform,0.069,0.11,prevalence of that resistance profile,r.prev,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,f,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,f,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,f,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,f,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,f,low_trim,cost.empiricuti.U,51.89,uniform,45.26,51.89,cost of empiric therapy (one off),British National Formulary ,gentamicin,c,y,complicated,women,IV,low_trim_res,gentamicin,431,1,7,trimethoprim,200,2,14
complicated_IV,65100,f,low_trim,cost.empiricuti.current,14.83,uniform,12.93,14.83,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,women,IV,low_trim_res,gentamicin,431,1,7,trimethoprim,200,2,14
complicated_IV,65100,f,low_trim,cost.empiricuti.ifast,5.58,uniform,2.67,5.58,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,women,IV,low_trim_res,gentamicin,431,1,7,trimethoprim,200,2,14
complicated_IV,65100,f,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,women,IV,low_trim_res,gentamicin,431,1,7,trimethoprim,200,2,14
uncomplicated,1664,m,low_trim,r.prev,0.05,uniform,0.02,0.25,prevalence of that resistance profile,r.prev,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,m,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,m,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,m,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,m,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,1664,m,low_trim,cost.empiricuti.U,2.03,uniform,1.66,6.77,cost of empiric therapy (one off),British National Formulary ,trimethoprim,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
uncomplicated,1664,m,low_trim,cost.empiricuti.current,0.58,uniform,0.47,1.93,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
uncomplicated,1664,m,low_trim,cost.empiricuti.ifast,0.15,uniform,0.12,0.48,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
uncomplicated,1664,m,low_trim,cost.2ndline.U,5.02,uniform,1.79,13.52,cost of second line (one off),British National Formulary ,nitrofurantoin,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
complicated_IV,1664,m,low_trim,r.prev,0.09,uniform,0.069,0.11,prevalence of that resistance profile,r.prev,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,m,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,m,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,m,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,m,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,1664,m,low_trim,cost.empiricuti.U,61.52,uniform,53.66,61.52,cost of empiric therapy (one off),British National Formulary ,gentamicin,c,y,complicated,men,IV,base,gentamicin,511,1,7,co-amoxiclav,1200,1,7
complicated_IV,1664,m,low_trim,cost.empiricuti.current,17.58,uniform,15.33,17.58,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
complicated_IV,1664,m,low_trim,cost.empiricuti.ifast,7.68,uniform,3.2,7.68,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
complicated_IV,1664,m,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
uncomplicated,65100,m,low_trim,r.prev,0.05,uniform,0.02,0.25,prevalence of that resistance profile,r.prev,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,m,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,m,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,m,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,m,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,trimethoprim,y,y,,,,,,,,,,,,
uncomplicated,65100,m,low_trim,cost.empiricuti.U,2.03,uniform,1.66,6.77,cost of empiric therapy (one off),British National Formulary ,trimethoprim,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
uncomplicated,65100,m,low_trim,cost.empiricuti.current,0.58,uniform,0.47,1.93,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
uncomplicated,65100,m,low_trim,cost.empiricuti.ifast,0.15,uniform,0.12,0.48,cost of empiric therapy for those that then switch,British National Formulary ,trimethoprim,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
uncomplicated,65100,m,low_trim,cost.2ndline.U,5.02,uniform,1.79,13.52,cost of second line (one off),British National Formulary ,nitrofurantoin,y,y,uncomplicated,men,oral,low_trim_res,trimethoprim,200,2,7,nitrofurantoin,100,2,7
complicated_IV,65100,m,low_trim,r.prev,0.09,uniform,0.069,0.11,prevalence of that resistance profile,r.prev,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,m,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,m,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,m,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,m,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,gentamicin,y,y,,,,,,,,,,,,
complicated_IV,65100,m,low_trim,cost.empiricuti.U,61.52,uniform,53.66,61.52,cost of empiric therapy (one off),British National Formulary ,gentamicin,c,y,complicated,men,IV,base,gentamicin,511,1,7,co-amoxiclav,1200,1,7
complicated_IV,65100,m,low_trim,cost.empiricuti.current,17.58,uniform,15.33,17.58,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,men,IV,base,gentamicin,511,1,7,co-amoxiclav,1200,1,7
complicated_IV,65100,m,low_trim,cost.empiricuti.ifast,7.68,uniform,3.2,7.68,cost of empiric therapy for those that then switch,British National Formulary ,gentamicin,y,y,complicated,men,IV,base,gentamicin,511,1,7,co-amoxiclav,1200,1,7
complicated_IV,65100,m,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,men,IV,low_trim_res,gentamicin,511,1,7,trimethoprim,200,2,14
complicated_oral,1664,f,low_trim,r.prev,0.13,uniform,0.08,0.18,prevalence of that resistance profile,r.prev,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,f,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,f,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,f,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,f,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,f,low_trim,cost.empiricuti.U,2.41,uniform,1.49,3.19,cost of empiric therapy (one off),British National Formulary ,cefalexin,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,f,low_trim,cost.empiricuti.current,0.57,uniform,0.35,0.75,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,f,low_trim,cost.empiricuti.ifast,0.11,uniform,0.07,0.15,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,f,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,f,low_trim,r.prev,0.13,uniform,0.08,0.18,prevalence of that resistance profile,r.prev,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,f,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,f,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,f,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,f,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,f,low_trim,cost.empiricuti.U,2.41,uniform,1.49,3.19,cost of empiric therapy (one off),British National Formulary ,cefalexin,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,f,low_trim,cost.empiricuti.current,0.57,uniform,0.35,0.75,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,f,low_trim,cost.empiricuti.ifast,0.11,uniform,0.07,0.15,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,f,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,women,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,m,low_trim,r.prev,0.13,uniform,0.08,0.18,prevalence of that resistance profile,r.prev,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,m,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,m,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,m,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,m,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,1664,m,low_trim,cost.empiricuti.U,2.41,uniform,1.49,3.19,cost of empiric therapy (one off),British National Formulary ,cefalexin,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,m,low_trim,cost.empiricuti.current,0.57,uniform,0.35,0.75,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,m,low_trim,cost.empiricuti.ifast,0.11,uniform,0.07,0.15,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,m,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,m,low_trim,r.prev,0.13,uniform,0.08,0.18,prevalence of that resistance profile,r.prev,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,low_trim,sensitivity.i,0.95,uniform,0.75,1,sensitivity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,low_trim,specificity.i,0.85,uniform,0.75,1,specificity to that antibiotic - ifast,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,low_trim,sensitivity.c,0.95,uniform,0.75,1,sensitivity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,low_trim,specificity.c,0.85,uniform,0.75,1,specificity to that antibiotic - current,Assumption,cefalexin,y,y,,,,,,,,,,,,
complicated_oral,65100,m,low_trim,cost.empiricuti.U,2.41,uniform,1.49,3.19,cost of empiric therapy (one off),British National Formulary ,cefalexin,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,m,low_trim,cost.empiricuti.current,0.57,uniform,0.35,0.75,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,m,low_trim,cost.empiricuti.ifast,0.11,uniform,0.07,0.15,cost of empiric therapy for those that then switch,British National Formulary ,cefalexin,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,65100,m,low_trim,cost.2ndline.U,4.06,uniform,3.32,13.53,cost of second line (one off),British National Formulary ,trimethoprim,y,y,complicated,men,oral,low_trim_res,cefalexin,500,2.5,8.5,trimethoprim,200,2,14
complicated_oral,1664,f,all,cohort,3221.1,,,,,HES APC data,,y,na,,,,,,,,,,,,
complicated_oral,65100,f,all,cohort,11932.7,,,,,HES APC data,,y,na,,,,,,,,,,,,
complicated_oral,1664,m,all,cohort,1719.2,,,,,HES APC data,,y,na,,,,,,,,,,,,
complicated_oral,65100,m,all,cohort,7766.5,,,,,HES APC data,,y,na,,,,,,,,,,,,